My Universe,,,,,,
Big Sky,West,East,,,,
Big South ,East,West,,,,
CAA,North ,South,,,,
Ivy League ,Rolfe,Lou Gehrig,,,,
MEAC,Atlantic ,Coastal,,,,
Missouri Valley,North ,South,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival
# SEC,,,,,,
TEAM,Big Sky,West,Eastern Washington,EWU,46,VPO
TEAM,Big Sky,West,Idaho,UOI,62,ISU
TEAM,Big Sky,West,Northern Arizona,NAU,69,NCU
TEAM,Big Sky,West,Portland State,PST,45,DVD
TEAM,Big Sky,West,Sacramento State,SCST,94,AMS
TEAM,Big Sky,West,Weber State,WSU,41,SUU
TEAM,Big Sky,West,Montana,UM,65,MSU
TEAM,Big Sky,East,Valparaiso,VPO,67,EWU
TEAM,Big Sky,East,Davidson,DVD,89,PST
TEAM,Big Sky,East,American Samoa,AMS,25,SCST
TEAM,Big Sky,East,Northern Colorado,NCU,72,NAU
TEAM,Big Sky,East,Southern Utah,SUU,42,WSU
TEAM,Big Sky,East,Montana State,MSU,71,UM
TEAM,Big Sky,East,Idaho State,ISU,51,UOI
# ACC,,,,,,
TEAM,Big South,East ,Monmouth,MON,70,GW
TEAM,Big South,East ,Kennesaw St,KSU,32,CTA
TEAM,Big South,East ,Charleston Southern,CSO,35,CTD
TEAM,Big South,East ,North Alabama,NAB,53,UTM
TEAM,Big South,East ,Campbell ,CAM,74,TT
TEAM,Big South,East ,Presbyterian,PRE,67,TST
TEAM,Big South,East ,Hampton,HTN,55,ESTN
TEAM,Big South,West,Gardner-Webb,GW,83,MON
TEAM,Big South,West,Chattanooga,CTA,29,KSU
TEAM,Big South,West,Citadel,CTD,64,CSO
TEAM,Big South,West,Tennesee - Martin,UTM,79,NAB
TEAM,Big South,West,Tennesee Tech,TT,65,CAM
TEAM,Big South,West,Tennesee State ,TST,73,PRE
TEAM,Big South,West,Eastern Tennesee State,ESTN,90,HTN
# B1G,,,,,,
TEAM,CAA,North,Albany,ANY,65,W&M
TEAM,CAA,North,New Hampshire,UNH,54,DE
TEAM,CAA,North,Stony Brook,SBK,76,TOW
TEAM,CAA,North,Rhode Island,RI,86,RICH
TEAM,CAA,North,Maine,ME,95,JMU
TEAM,CAA,North,Central Connecticut State,CCTST,70,LGH
TEAM,CAA,North,Fordham ,FDM,33,BKN
TEAM,CAA,South,W&M,W&M,76,ANY
TEAM,CAA,South,Delaware,DE,31,UNH
TEAM,CAA,South,Towson,TOW,97,SBK
TEAM,CAA,South,Richmond,RICH,82,RI
TEAM,CAA,South,James Madison,JMU,27,ME
TEAM,CAA,South,Lehigh,LGH,37,CCTST
TEAM,CAA,South,Bucknell,BKN,54,FDM
# Big12,,,,,,
TEAM,Ivy League,Rolfe,Dartmouth,DART,66,COL
TEAM,Ivy League,Rolfe,Yale,YU,34,HAR
TEAM,Ivy League,Rolfe,Princeton,PNT,43,BRO
TEAM,Ivy League,Rolfe,Penn,PEN,40,ELO
TEAM,Ivy League,Rolfe,Cornell,COR,56,NOVA
TEAM,Ivy League,Rolfe,Duquesne,DQ,98,GGT
TEAM,Ivy League,Rolfe,Sacred Heart,SH,42,CGT
TEAM,Ivy League,Lou Gehrig,Columbia,COL,59,DART
TEAM,Ivy League,Lou Gehrig,Harvard,HAR,32,YU
TEAM,Ivy League,Lou Gehrig,Brown,BRO,39,PNT
TEAM,Ivy League,Lou Gehrig,Elon,ELO,97,PEN
TEAM,Ivy League,Lou Gehrig,Villanova,NOVA,59,COR
TEAM,Ivy League,Lou Gehrig,Georgetown,GGT,45,DQ
TEAM,Ivy League,Lou Gehrig,Colgate ,CGT,38,SH
# Pac 12,,,,,,
TEAM,MEAC,Atlantic,Delaware State ,DST,76,HOW
TEAM,MEAC,Atlantic,Norfolk State,NS,56,CAR
TEAM,MEAC,Atlantic,Florida A&M,FAM,30,MST
TEAM,MEAC,Atlantic,North Carolina A&T,NCAT,43,NCC
TEAM,MEAC,Atlantic,South Carolina State,SCST,42,BCU
TEAM,MEAC,Atlantic,Long Island,LIU,84,RM
TEAM,MEAC,Atlantic,Virginia Military ,VMI,75,BYT
TEAM,MEAC,Coastal,Howard,HOW,25,DST
TEAM,MEAC,Coastal,Western Carolina,CAR,85,NS
TEAM,MEAC,Coastal,Morgan State ,MST,75,FAM
TEAM,MEAC,Coastal,North Carolina Central,NCC,65,NCAT
TEAM,MEAC,Coastal,Bethune-Cookman ,BCU,52,SCST
TEAM,MEAC,Coastal,Robert Morris,RM,73,LIU
TEAM,MEAC,Coastal,Bryant,BYT,82,VMI
# AAC,,,,,,
TEAM,Missouri Valley,North ,North Dakota State,NDST,26,SDST
TEAM,Missouri Valley,North ,Northern Iowa,NIU,36,SIU
TEAM,Missouri Valley,North ,South Dakota,SD,92,INST
TEAM,Missouri Valley,North ,Western Illinois,WIL,41,IST
TEAM,Missouri Valley,North ,Youngstown State,YST,98,MIST
TEAM,Missouri Valley,North ,Austin Peay,APY,52,EILL
TEAM,Missouri Valley,North ,Southeastern Missouri State,SEMO,25,MRY
TEAM,Missouri Valley,South,Indiana State ,INST,53,SD
TEAM,Missouri Valley,South,Missouri State,MIST,85,YST
TEAM,Missouri Valley,South,Illinois State,IST,52,WIL
TEAM,Missouri Valley,South,South Dakota State,SDST,70,NDST
TEAM,Missouri Valley,South,Southern Illinois,SIU,56,NIU
TEAM,Missouri Valley,South,Eastern Illinois,EILL,94,APY
TEAM,Missouri Valley,South,Murray State,MRY,87,SEMO
END_FILE,,,,,,
